(GPS) Geometrical Product Specification,geometrical product specification
direct investment,direct investment
direct marketing,direct marketing
disabled users,disabled user
disabled users access,disabled users access
disassembly,disassembly
disassembly effort,disassembly effort
discontinuity,discontinuity
discontinuous membership,discontinuous membership
discourse analysis,discourse analysis
discrete event simulation,discrete event simulation
Discrete event systems,discrete event system
discrete manufacturing,discrete manufacturing
discrete-event simulation,discrete event simulation
discriminant analysis,discriminant analysis
Disjunctive Normal Form,disjunctive normal form
dismantling,dismantling
Dismantling space,dismantling space
Disparate systems,disparate systems
dispersed employee collaboration,dispersed employee collaboration
dispute resolution,dispute resolution
Disruption management,disruption management
Disruptive Innova-tion,disruptive innovation
Disruptive innovation,disruptive innovation
distance learning,distance learning
distant tutoring,distant tutoring
distributed artificial intelligence,distributed artificial intelligence
distributed design,distributed design
distributed engineering,distributed engineering
Distributed scheduling,distributed scheduling
distributed system,distributed system
Diverse members,diverse members
DMN,dynamic manufacturing network
DMSMS,diminishing manufacturing source and material shortage
DMU,digital mockup
DMU maturity,digital mockup maturity
Document / model release process,document model release process
Document delivery process,document delivery process
document lifecycle,document lifecycle
Document management,document management
document structures,document structure
document version and status,document version and status
documentation,documentation
domain,domain
domain definition,domain definition
Domain Specific Language,domain specific language
domain specific modeling,domain specific model
Domain-specific modeling,domain specific language
domain-specific modeling (DSM),domain specific language
drawing annotations,drawing annotation
DREAMY,DREAMY
Drinking water quality,drinking water quality
Drivers of Change,driver of change
DRM,digital rights management
DRP,design refresh planning
DRP constraints,design refresh planning constraint
DSM,****
DSM clustering analysis,design structure matrix clustering analysis
DSS,decision support system
DTP2,divertor test platform
dye solar cells,dye solar cell
Dynamic Bayesian Networks,dynamic bayesian network
dynamic change,dynamic change
Dynamic change propagation,dynamic change propagation
Dynamic Collaboration,dynamic collaboration
Dynamic decision making,dynamic decision making
dynamic heterogeneous environments,dynamic heterogeneous environment
Dynamic Instant Innovation,dynamic instant innovation
Dynamic life cycle assessment,dynamic life cycle assessment
Dynamic manufacturing network,dynamic manufacturing network
Dynamic network analysis,dynamic network analysis
Dynamic Network Management,dynamic network management
Dynamic programming,dynamic programming
Dynamic response,dynamic response
dynamic routing,dynamic routing
Dynamic system reconfiguration,dynamic system reconfiguration
dynamics,dynamic
e-commerce,electronic commerce
e-commerce interfaces,electronic commerce interface
e-design,electronic design
e-Learning,electronic learning
e-learning,electronic learning
e-Learning technologies,electronic learning technology
e-maintenance,electronic maintenance
e-manufacturing,electronic manufacturing
E-Mobility,electronic mobility
e-services,electronic services
e-waste,electronic waste
EAF,enterprise architecture framework
early design,early design
Early design stages,early design stages
Early prototyping,early prototyping
Eating detection,eating detection
EBOM,engineering bill of materials
Echelon Utilization.,echelon utilization
EcLCA,ECLCA
Eclipse Modelling Framework,eclipse modelling framework
ECM,engineering change management
ECN,engineering collaboration via negotiation
ECO,engineering change order
Eco design,ecodesign
Eco-design,ecodesign
eco-efficiency,ecoefficiency
Eco-Indicator,ECOINDICATOR 99
Eco-innovation,ecoinnovation
Eco-system,ecosystem
EcoDesign,ecodesign
Ecodesign,ecodesign
ECOINDICATOR 99,ECOINDICATOR 99
Ecological transition,ecological transition
economic analysis,economic analysis
economic value analysis,economic value analysis
Ecosystem,ecosystem
Ecosystem Collaboration,ecosystem collaboration
Edge Measurement,edge measurement
Edit trace behaviour,edit trace behaviour
EDM,engineering data management
EDMS,engineering data management system
Education,education
Educational and training approach,educational and training approach
educational material,educational material
Educational methods,educational method
effective communication,effective communication
Effective learning,effective learning
effectiveness,effectiveness
efficiency,efficiency
Efficiency improvement,efficiency improvement
Efficient product reuse,efficient product reuse
eHealth,eHealth
EIA,environmental impact assessment
EIR,employer information requirement
Elaboration model,elaboration model
Elastic modulus,elastic modulus
ELCA,environmental lifecycle assessment
Elderly,elderly
Electric Vehicles,electric vehicle
electrical and electronic equipment,electrical and electronic equipment
electrical and electronic equipment waste,electrical and electronic equipment waste
electro-magnetic compatibility,electro magnetic compatibility
Electrode wear prediction,electrode wear prediction
electromagnetic compatibility,electromagnetic compatibility
electromagnetic compliance,electromagnetic compliance
electronic appliances,electronic appliance
electronic business media,electronic business media
electronic collaboration,electronic collaboration
electronic commerce,electronic commerce
electronic learning,electronic learning
electronic parts,electronic part
Electronic product documentation,electronic product documentation
Electronic products,electronic product
elicitation,elicitation
ELV,end of life vehicle
email,email
Embedded devices,embedded device
embedded RFID,embedded radio frequency identification
embedded system,embedded system
Embedded System,embedded system
embedded systems,embedded system
Embedded Systems,embedded system
Embodied energy,embodied energy
Embodiment design,embodiment design
EMC,electromagnetic compliance
EMC compliance,electromagnetic compliance
emerging technologies,emerging technology
Emerging Technology,emerging technology
Emissions,emission
Emotional experience,emotional experience
Emotions,emotion
Empirical research,empirical study
empirical study,empirical study
Empty space modelling,empty space modelling
Enabling collaborative situation,enabling collaborative situation
End of Life,end of life
end-of-life,end of life
End-of-life,end of life
End-of-life aircraft,end of life aircraft
end-of-life CRTs,end of life cathode ray tube
End-of-life flows,end of life flow
End-of-Life Management,end of life management
End-of-life product,end of life product
end-of-life products,end of life product
End-of-life recycling,end of life recycling
end-of-life strategy,end of life strategy
end-of-life treatment,end of life treatment
End-to-End,end to end
End-to-end ICT solutions,end to end information and communication technology solution
end-user development,end user development
Energy,energy
energy consumption,energy consumption
Energy consumption management,energy consumption management
energy equipment,energy equipment
energy management,energy management
Energy renovation,energy renovation
Energy simulation,energy simulation
engine,engine
engine oil filters,engine oil filter
Engineer Change,engineer change
Engineer to order,engineer to order
Engineer-to-order,engineer to order
Engineer-to-order product,engineer to order product
Engineering,engineering
engineering,engineering
Engineering & Contracting,engineering and contracting
Engineering 4.0,engineering 4.0
Engineering 4.0 lab,engineering 4.0 lab
Engineering action’s management system,engineering actions management system
engineering assets,engineering asset
Engineering Bill Of Material,engineering bill of materials
engineering change,engineering change
Engineering change (EC),engineering change
Engineering change analysis,engineering change analysis
Engineering change assessment,engineering change assessment
Engineering change history,engineering change history
engineering change management,engineering change management
Engineering change management,engineering change management
Engineering Change Management.,engineering change management
engineering change notice,engineering change notice
engineering change order,engineering change order
Engineering change process automation,engineering change process automation
engineering change request,engineering change request
engineering changes,engineering change
Engineering changes,engineering change
engineering collaboration,engineering collaboration
engineering data,engineering data
Engineering Data Management,engineering data management
engineering design,engineering design
Engineering Design Science,engineering design science
engineering drawings,engineering drawing
engineering education,engineering education
Engineering Efficiency,engineering efficiency
Engineering environment,engineering environment
engineering framework,engineering framework
Engineering Graph,engineering graph
Engineering informatics,engineering informatics
Engineering information,engineering information
Engineering IT,engineering information technology
Engineering Knowledge,engineering knowledge
engineering knowledge management,engineering knowledge management
Engineering management,engineering management
engineering model representation,engineering model representation
Engineering Networks,engineering network
engineering object definition,engineering object definition
engineering objects,engineering object
Engineering Operating System,engineering operating system
Engineering parameter management,engineering parameter management
Engineering Process,engineering process
Engineering Process Management,engineering process management
engineering processes,engineering process
Engineering project management,engineering project management
Engineering project process,engineering project process
engineering requirements,engineering requirement
Engineering service operations,engineering service operation
engineering systems,engineering system
engineering to order,engineering to order
Engineering Visualization,engineering visualization
engineering work,engineering work
engineering workflow,engineering workflow
Enginergin Change Management,engineering change management
enhanced QFD,enhanced quality function deployment
ENOVIA,ENOVIA
ENOVIA V6,ENOVIA
"ENOVIA V6, CATIA V6",ENOVIA and CATIA
Ensemble learning,ensemble learning
enterprise,enterprise
Enterprise 2.0,enterprise 2.0
enterprise architecture,enterprise architecture
enterprise architecture framework,enterprise architecture framework
enterprise architecture framework,enterprise architecture framework
Enterprise BOM,enterprise bill of materials
Enterprise collaboration,enterprise collaboration
Enterprise Information Integration,enterprise information integration
Enterprise information system,enterprise information system
enterprise information systems,enterprise information system
Enterprise innovation,enterprise innovation
enterprise integration,enterprise integration
Enterprise IT,enterprise information technology
enterprise knowledge,enterprise knowledge
Enterprise management,enterprise management
enterprise modeling,enterprise modeling
enterprise modelling,enterprise modeling
Enterprise modelling,enterprise modelling
Enterprise network,enterprise network
Enterprise Portal,enterprise portal
Enterprise Process Frameworks,enterprise process framework
enterprise process integration,enterprise process integration
Enterprise Product Data standards,enterprise product data standard
enterprise resource planning,enterprise resource planning
enterprise resource system,enterprise resource system
Enterprise search,enterprise search
Enterprise service bus,enterprise service bus
Enterprise Service Bus,enterprise service bus
enterprise systems,enterprise system
Entity classification,entity classification
environment,environment
environmental accountancy,environmental accountancy
environmental analysis,environmental analysis
environmental and safety standards,environmental and safety standard
Environmental assessment,environmental assessment
Environmental awareness,environmental awareness
environmental behavior,environmental behavior
Environmental design,environmental design
environmental effects,environmental effect
environmental impact,environmental impact
environmental impact assessment,environmental impact assessment
environmental impacts,environmental impact
environmental impacts analysis,environmental impact assessment
Environmental improvement,environmental improvement
environmental issues,environmental issue
environmental management system,environmental management system
environmental metrics,environmental metrics
environmental performance,environmental performance
Environmental policy,environmental policy
environmental pollution,environmental pollution
environmental QFD,environmental quality function deployment
environmental standards,environmental standard
environmental sustainability,environmental sustainability
environmental sustainable design,environmental sustainable design
environmental technology,environmental technology
environmentally conscious design,environmentally conscious design
Environmentally conscious nano product,environmentally conscious nano product
EOL,end of life
EoL of electronic appliances,end of life of electronic appliance
EoL product quality,end of life product quality
EOL products,end of life product
EPC,engineering procurement and construction 
EPC network,engineering procurement and construction  network
EQFD,enhanced quality function deployment
equipment acquisition,equipment acquisition
equipment manufacturing,equipment manufacturing
Equipment Selection,equipment selection
Ergonomic,ergonomic
Ergonomic analysis,ergonomic analysis
ergonomic hazards,ergonomic hazard
ergonomics,ergonomic
Ergonomics analysis,ergonomic analysis
ERP,enterprise resource planning
ERP/ERPII,enterprise resource planning
Error generation,error generation
errors detection,error detection
errors documentation,error documentation
ES,expert system
ESB,enterprise service bus
Escalation,escalation
Ethics,ethics
ethnography,ethnography
ETO,engineer to order
European Union,EUROPEAN UNION
eutrophication,eutrophication
evaluation,evaluation
evaluation grid method,evaluation grid method
Evaluation method,evaluation method
Event log,event log
Event management,event management
Evidential reasoning approach,evidential reasoning approach
evolution,evolution
Evolution,evolution
Evolution of Information System,evolution of information system
evolutionary product,evolutionary product
Evolving product,evolving product
Exact solution,exact solution
Exchange,exchange
Exchange information,exchange information
Exchange Process,exchange process
exchange processes,exchange process
Executable BPM model,executable business process management model
Execution traces,execution trace
exergy,exergy
existing products,existing product
Expected benefits,expected benefit
Experience feedback,experience feedback
experimental data and information,experimental data and information
Experimental measurements,experimental measurement
expert level automation,expert level automation
expert system,expert system
expert systems,expert system
Expert Systems (ESs),expert system
expertise based knowledge driven product representation,expertise based knowledge driven product representation
expertise based knowledge features,expertise based knowledge feature
Explicit knowledge,explicit knowledge
Exploitation,exploitation
Exploration,exploration
explorative research,explorative research
Export process,export process
EXPRESS language,EXPRESS language
Express-G,EXPRESS G
extended enterprise,extended enterprise
Extended Enterprise,extended enterprise
Extended hypermodel for interoperability,extended hypermodel for interoperability
Extended Product,extended product
Extended product,extended product
Extended Products,extended product
extended QFD,extended quality funtion deployment
Extended Value,extended value
extensible markup language,extensible markup language
Extensible markup language (XML),extensible markup language
extensible markup language (XML),extensible markup language
Extensible stylesheet language transformations (XSLT),extensible stylesheet language transformation
FACADE,FACADE
Façade,FACADE
Facade modeling,FACADE modeling
Facebook,FACEBOOK
FacÌ§ade,FACADE
facilities management,facility management
facilities management (FM),facility management
Facilities planning and design,facilities planning and design
Facility layout problem,facility layout problem
fact-based design,fact based design
Factory communications,factory communication
Factory Lifecycle Management,factory lifecycle management
factory of the future,factory of the future
Factory of the future,factory of the future
Factory relocation,factory relocation
factory simulation,factory simulation
failure knowledge network,failure knowledge network
failure knowledge networks,failure knowledge network
failure management,failure management
Failure Mode and Effect Analysis (FMEA),failure mode and effect analysis
failure modes and effects analysis,failure mode and effect analysis
Failure ontology,failure ontology
failure prediction,failure prediction
failure reporting analysis,failure reporting analysis
failure reporting analysis and corrective action system,failure reporting analysis and corrective action system
FAIR Data,FAIR data
fair exchange,fair exchange
fashion,fashion
fashion industry,fashion industry
fashion shoes,fashion shoe
Fast fashion,fast fashion
fatigue,fatigue
Fatigue life,fatigue life
FBS,function behavior structure
FDI,foreign direct investment
FEA,finite element analysis
Feature based Machining,feature based machining
feature driven model construction,feature driven model construction
feature recognition,feature recognition
Feature recognition,feature recognition
Feature Technology,feature technology
feature-based design,feature based design
Feature-based design (FBD),feature based design
feature-based modelling,feature based modeling
features,feature
Features,feature
Federated Enterprise Architecture,federated enterprise architecture
federation,federation
Feedback,feedback
Feedback data,feedback data
feedback information,feedback information
feedback management,feedback management
FEM,finite element analysis
FFSF taxonomy,free form surface feature taxonomy
fibre-reinforced polymer,fibre reinforced polymer
field data,field data
Fighter Aircraft,fighter aircraft
Fighter Aircraft.,fighter aircraft
File formats,file formats
filter agents,filter agent
finite automaton,finite automaton
Finite element analysis,finite element analysis
Finite element Analysis,finite element analysis
finite element method,finite element analysis
Finite element methods,finite element analysis
Firewall,firewall
firm size,firm size
FKN,failure knowledge network
flank milling,flank milling
Flat Rate,flat rate
Flexibility,flexibility
flexible architecture,flexible architecture
Flexible assembly,flexible assembly
Flexible best-fit,flexible best fit
Flexible factories,flexible factories
Flexible job shop with operators,flexible job shop with operators
flexible manufacturing system,flexible manufacturing system
Flexible reporting,flexible reporting
flexible workflow,flexible workflow
flexible workflows,flexible workflow
flow diagram,flow diagram
Flow Production,flow production
FM,facility management
FMEA,failure mode and effect analysis
FMECA,failure mode effect and criticality analysis
Focus Group,focus group
food,food
Food & Beverage,food and beverage
Food and fashion,food and fashion
Food industry,food industry
food packaging,food packaging
Food sector,food sector
Foot plantar pressure,foot plantar pressure
footwear industry,footwear industry
Force feedback,force feedback
foreign direct investment,foreign direct investment
form,form
Formal definition,formal definition
Formal model,formal model
Formal models,formal model
formal recycling sectors,formal recycling sector
formal rules,formal rule
Formal systems,formal systems
Formalization,formalization
formidable challenges,formidable challenge
Formula Student,FORMULA STUDENT
Formulated product,formulated product
Formulation,formulation
fossil fuel,fossil fuel
fostering innovation,fostering innovation
foundation ontology,foundation ontology
Foundry sand,foundry sand
FP,function point
FRACAS,failure reporting analysis and corrective action system
Fracture,fracture
fracture criterion,fracture criterion
Fragrance industry,fragrance industry
framework,framework
Framework,framework
framework of system integration,framework of system integration
France,France
Free and Open Source,free and open source
free software,free software
Free space,free space
Free text analysis,free text analysis
Free-form surface feature,free form surface feature
Free-form surface feature (FFSF),free form surface feature
Front Loading,front loading
Frontloading,front loading
Froude Number,froude number
FRP,fibre reinforced polymer
FRP composites,fibre reinforced polymer composite
Frugal innovation,frugal innovation
FSI,fluid solid interaction
Fuel economy,fuel economy
Fully Fuzzy Multi-Objective Programming,fully fuzzy multi objective programming
function,function
function analysis,function analysis
Function Behaviour Structure,function behaviour structure
function modelling,function modelling
function performance,function performance
function points,function point
function structure model,function structure model
function-behaviour-structure,function behaviour structure
Function–Behaviour–Structure,function behaviour structure
functional,functional
Functional Analysis,function analysis
Functional design,functional design
Functional digital mock-up,functional digital mockup
functional modelling,functional modeling
Functional Products,functional product
Functional Requirements,functional requirement
functional reverse design,functional reverse design
Functional system model,functional system model
functional values,functional value
Functionalities,functionality
Functionality constraints,functionality constraint
functions,function
Fundamental objectives,fundamental objectives
fusion energy,fusion energy
fusion magnets,fusion magnet
future development PLM,future development product lifecycle management
Future PLM,future product lifecycle management
Futuristic PLM model,futuristic product lifecycle management model
fuzzy AD,fuzzy axiomatic design
fuzzy AHP,fuzzy analytic hierarchy process 
Fuzzy AHP,fuzzy analytic hierarchy process 
Fuzzy ANP,fuzzy analytic network process
fuzzy clustering,fuzzy clustering
fuzzy expert systems,fuzzy expert system
fuzzy FMEA,fuzzy failure mode and effect analysis
fuzzy inference,fuzzy inference
Fuzzy logic,fuzzy logic
Fuzzy mode,fuzzy mode
fuzzy set,fuzzy set
Fuzzy Set Theory,fuzzy set theory
fuzzy sets,fuzzy set
Fuzzy string comparison,fuzzy logic
fuzzy synthetic assessment,fuzzy synthetic assessment
Fuzzy theory,fuzzy theory
Fuzzy VIKOR,fuzzy VIKOR
FVM,FVM
G-code,G CODE
Game Based Learning,game based learning
Game Environment,game Environment
Game-based learning,game based learning
Gamification,gamification
garment design,garment design
garment industry,garment industry
Gas turbines,gas turbine
Gaze direction,gaze direction
Gaze following,gaze following
GDSS,group decision support system
General manufacturing model,general manufacturing model
Generative design,generative design
Generative engineering,generative engineering
generative geometry,generative geometry
generative theory of shape,generative theory of shape
generic architecture,generic architecture
generic feature,generic feature
Generic Model,generic model
generic modeling,generic modeling
genetic algorithm,genetic algorithm
genetic algorithms,genetic algorithm
Geographical Information System,geographical information system
Geographical Information Systems,geographical information system
Geometric change,geometric change
geometric constraint solving,geometric constraint solving
geometric constraints,geometric constraint
Geometric constraints,geometric constraint
geometric modelling,geometric modeling
geometric objects,geometric object
Geometric parameters,geometric parameter
geometrical variation effect,geometrical variation effect
geometry,geometry
geometry foundations,geometry foundation
geometry interface,geometry interface
geometry interfaces,geometry interface
Germany,GERMANY
Gestalt theory,gestalt theory
GHG emissions,greenhouse gases emission
GIS,geographical information system
GLAD,glancing angle deposition
Glass beads blasting,glass beads blasting
glitches,glitche
global,global
Global Data Exchange,global data exchange
global engineering,global engineering
Global Engineering Networks (GEN),global engineering network
global factory case study,global factory case study
Global information Systems,global information system
Global Japanese manufacturing firms,global japanese manufacturing firm
Global Manufacturing,global manufacturing
Global networks,global network
global product development,global product development
Global Product Development (GPD),global product development
global product information model,global product information model
Global production networks,global production network
Global traceability,global traceability
Global trends,global trends
global warming,global warming
globalisation,globalization
Globalization,globalization
Goal-oriented Process modeling,goal oriented process modeling
Google apps,GOOGLE APPS
Governance,governance
GPD,global product development
GPD strategy,global product development strategy
graph,graph
Graph database,graph database
Graph model,graph model
Graph modelling,graph modelling
Graph Theory,graph theory
graph theory,graph theory
graph transformation,graph transformation
graph-based constraint analysis,graph based constraint analysis
graphical communication,graphical communication
Graphical Methods,graphical method
Green aviation,green aviation
Green component,green component
Green design,green design
Green IS,green information system
Green IT,green information technology
Green Manufacturing,green manufacturing
green QFD,green quality function deployment
green supply chain,green supply chain
Green supply chain management,green supply chain management
Green Supply Chain Management,green supply chain management
greenhouse gases,greenhouse gases
Grid Computing,grid computing
grid technology,grid technology
Ground truth,ground truth
Grounded theory,grounded theory
Grounding,grounding
group,group
Group clustering,group clustering
group decision making,group decision making
group decision support systems,group decision support system
Group decision-making,group decision making
group profiling,group profiling
group theory,group theory
GSCF,global supply chain forum
GUI monitoring,graphical user interface monitoring
Guidance System,guidance system
Guidelines,guideline
Handle of elevator design,handle of elevator design
Haptic feedback,haptic feedback
hardware and software data management,hardware and software data management
hardware data management,hardware data management
harsh environments,harsh environment
hazard identification,hazard identification
Hazard identification,hazard identification
Hazard investigation,hazard identification
HCD,human centered design
HDD,hard disk drive
head-gasket,head gasket
headlamp,headlamp
health monitoring,health monitoring
Health state,health state
Healthstate,health state
heritage,heritage
Heterogeneity,heterogeneous
Heterogeneous Architecture,heterogeneous architecture
Heterogeneous Data,heterogeneous data
Heterogeneous data integration,heterogeneous data integration
heterogeneous information sharing,heterogeneous information sharing
heterogeneous system,heterogeneous system
heterogeneous systems,heterogeneous system
heuristics,heuristic
hi-tech industry,high technology industry
Hierarchical Decision Modeling,hierarchical decision modeling
High performance computing,high performance computing
high technology,high technology
High technology industry,high technology industry
high-end processes,high end process
high-tech firms,high technology firm
Higher education,higher education
higher education courses,higher education course
higher education in engineering,higher education in engineering
Highly iterative product development,highly iterative product development
Hinge kit system,hinge kit system
history based,history based
history-based parametric modelling,history based parametric modelling
history-based parametrics,history based parametrics
HLA,high level architecture
Hole detection,hole detection
Holistic approach,holistic approach
holistic information management,holistic information management
Holistic Management Model,holistic management model
Holistic PLM Model,holistic product lifecycle management model
Holistic view,holistic view
holon,holon
holonic metamodelling,holonic metamodeling
Holonic systems,holonic system
Home appliance,home appliance
homogenisation,homogenization
honesty,honesty
horizontal and vertical product portfolios,horizontal and vertical product portfolio
Hotelling transformation,hotelling transformation
household appliances,household appliance
housing development,housing development
HSR,HSR
HTML,HTML
human,human
human (PPR plus H),human (product process and manufacturing resource plus human)
Human activity,human activity
Human behavior,human behavior
human body classification,human body classification
Human centricity,human centricity
Human computer interaction,human computer interaction
Human Factors,human factors
Human factors,human factors
human factors and ergonomics,human factors and ergonomics
Human interaction,human interaction
Human PLM interaction,human PLM interaction
Human resource development,human resource development
human resources,human resources
Human robot collaboration,human robot collaboration
human-centred design,human centered design
Human-centric Manufacturing,human centered manufacturing
Human-centric production,human centered production
human-computer interaction,human computer interaction
human-computer interaction in product development,human computer interaction in product development
Human-Machine-Interaction (HMI),human machine interaction
Human-systems integration,human systems integration
Human–machine interaction,human machine interaction
Human–robot interaction,human robot interaction
Humanitarian Technology,humanitarian technology
humanoids,humanoid
Humidifiers industry,humidifiers industry
HVAC,heating ventilation and air conditioning
HVAC diagram recognition,heating ventilation and air conditioning diagram recognition
Hybrid agile process,hybrid agile process
Hybrid approach,hybrid approach
Hybrid facility,hybrid facility
Hybrid intelligence,hybrid intelligence
Hybrid Method,hybrid method
Hybrid modelling,hybrid modelling
Hybrid process management,hybrid process management
Hybrid Production Structures,hybrid production structure
Hydro dynamic simulations,hydro dynamic simulations
HyperLedger Fabric,HYPERLEDGER fabric
i-Manufacturing,I-MANUFACTURING
IBCA structure for RFLP element generation,initiative behavior context and action structure for requirement functional logical and physical element generation
ICD,interface control document
ICT,information and communication technology
ICT adoption,information and communication adoption
Idea generation,idea generation
IDEAS,IDEAS
Ideation,ideation
IDEF,IDEF
IDEF0,IDEF
identification,identification
iDMU,industrial digital mockup
IFC,industry foundation class
IIoT,industrial internet of things
Ill-defined design System's approach,ill defined design system approach
illustrated glossary,illustrated glossary
ILS,Integrated logistics support
IMM,information mirror model 
immersed solid,immersed solid
Immersive analytics,immersive analytics
Immersive interface,immersive interface
impact,impact
Impact analysis,impact analysis
Impacts,impact
Implants,implants
Implementation,implementation
implementation guidelines,implementation guideline
Implementation Method,implementation method
Implementation model,implementation model
Implementation Process,implementation process
implementation set of methods,implementation set of methods
improved product lifecycle management,improved product lifecycle management
Improvement,improvement
In-adequacies,inadequacy
in-line motion capture,in line motion capture
In-Service,in service
Inclusion Condition,inclusion condition
India,INDIA
Indian Culture,indian culture
indicators,indicator
Indicators,indicator
individual learning plan,individual learning plan
individual parts,individual part
individualised service generation,individualised service generation
Indonesian fertiliser industry,indonesian fertiliser industry
Indoor health parameters,indoor health parameters
Indus-try 5.0,industry 5.0
industrial application,industrial application
Industrial Augmented Reality,industrial augmented reality
Industrial Automation System,industrial automation system
Industrial Case,industrial case
Industrial Design,industrial design
Industrial design processes,industrial design process
industrial Digital Mock Up,industrial digital mockup
industrial Digital Mock-Up,industrial digital mockup
industrial Digital Mock-Up (iDMU),industrial digital mockup
industrial DMU (iDMU),industrial digital mockup
industrial ecology,industrial ecology
Industrial economic sector,industrial economic sector
industrial engineering,industrial engineering
industrial experience,industrial experience
Industrial heritage,industrial heritage
Industrial implementation,industrial implementation
Industrial inspection,industrial inspection
Industrial internet,industrial internet
Industrial internet of things,Industrial internet of things
Industrial Internet of Things,Industrial internet of things
Industrial Internet of Things solutions,Industrial internet of things solutions
Industrial Maintenance,industrial maintenance
industrial PLM systems,industrial product lifecycle management system
industrial production equipment,industrial production equipment
Industrial resource ontology,industrial resource ontology
Industrial robot,industrial robot
Industrial sector,industrial sector
Industrial services,Iindustrial service
Industrial survey,industrial survey
industrial sustainability,industrial sustainability
industrial use-case,industrial use case
Industrial waste,industrial waste
Industrialization,industrialization
Industrialization Design,industrialization design
industrialization of aeronautical assemblies.,industrialization of aeronautical assembly
industrialization telecommunication industry,industrialization telecommunication industry
Industrie 4.0,industry 4.0
Industry,industry
Industry 4.0 skills,industry 4.0 skills
Industry 4.0/5.0,industry 4.0 and industry 5.0
Industry 4.0/5.0,industry 4.0 and industry 5.0
Industry 5.0,industry 5.0
industry foundation class,industry foundation class
industry specific,industry specific
Industry voice,industry voice
Industry-university collaboration,industry university collaboration
Industry4.0,industry 4.0
inference,inference
Influence region,influence region
Influencing factor,Influencing factor
Influencing factors,influencing factor
Informal communication,informal communication
informal recycling sectors,informal recycling sector
Informatics,informatics
information,information
information acquisition,information acquisition
Information and Communication Technologies,information and communication technology
Information and Communication Technology (ICT),information and communication technology
information and control web services,information and control web service
Information and Knowledge Management,information and knowledge management
information and knowledge modelling,information and knowledge modeling
information and knowledge organisation,information and knowledge organization
information and process management,information and process management
information collections,information collection
information content based product model,information content based product model
information content oriented modeling,information content oriented modeling
information demand,information demand
information exchange,information exchange
information extraction,information extraction
Information federation,information federation
Information Flow,information flow
Information flow,information flow
information flows,information flow
information integration,information integration
Information integration,information integration
Information Integration and Managment,information integration and managment
information integration model,information integration model
Information integrity view,information integrity view
information logistics,information logistics
information loop,information loop
information management,information management
Information management,information management
information management system,information management system
Information model,information model
information model technology.,information model technology
Information modeling,information modeling
information models,information model
information objects,information object
information overload,information overload
information quality,information quality
Information requirements,information requirement
Information requirements management,information requirements management
Information Retrieval,information retrieval
Information Reuse,information reuse
Information reuse,information reuse
Information security,information security
information sharing,information sharing
Information sharing,information sharing
information standards,information standard
Information System,information system
information system design,information system design
information system model,information system model
Information System Project,information system project
information systems,information system
Information Systems (IS),information system
information systems design,information system design
Information Systems interaction,information system interaction
information systems interoperability,information system interoperability
information systems of management,information system of management
information systems of management.,information system of management
information technologies,information technology
Information Technology,information technology
Information technology audit,information technology audit
information technology support,information technology support
Information tools,information tools
information traceability,information traceability
Information tracking,information tracking
Information Visualisation,information visualization
Information visualization,information visualization
information-intensive services,information intensive service
Informational Integration,informational integration
informational object,informational object
Infrastructure,infrastructure
Infrastructure Lifecycle Management (ILM),infrastructure lifecycle management
inheritance,inheritance
Initial analysis,initial analysis
Initiative,initiative
Injection mold,injection mold
Injection molds,injection mold
innovation,innovation
Innovation,innovation
innovation activities,innovation activity
Innovation and Idea Management,innovation and idea management
Innovation Ecosystem,innovation ecosystem
Innovation ecosystems,innovation ecosystem
Innovation Management,innovation management
innovation matrix,innovation matrix
Innovation performance measurement,innovation performance measurement
innovation process,innovation process
Innovation Project,innovation project
Innovation system,innovation system
innovative product development,innovative product development
Input-Output Analysis,input output analysis
insight,insight
inspection,inspection
inspection planning,inspection planning
Inspection Planning,inspection planning
Installed base,installed base
Instance Specific Information Management,instance specific information management
Instructional design,instructional design
Integrate Idea,integrate idea
Integrated collaboration model,integrated collaboration model
Integrated decision,integrated decision
integrated design,integrated design
integrated design and delivery solutions,integrated design and delivery solution
Integrated Design and Manufacturing,integrated design and manufacturing
integrated development environment,integrated development environment
Integrated e-Commerce system,integrated electronic commerce system
integrated engineering,integrated engineering
Integrated Engineering,integrated engineering
Integrated framework,integrated framework
integrated knowledge-based environment,integrated knowledge based environment
Integrated Lean,integrated lean
integrated logistics,integrated logistics
integrated management,integrated management
Integrated manufacturing,integrated manufacturing
Integrated Model,integrated model
Integrated model based design,integrated model based design
integrated models,integrated model
integrated PLM,integrated product lifecycle management
integrated PLM- process approach,integrated product lifecycle management process approach
integrated PLM-Process,integrated product lifecycle management
integrated product and process development,integrated product development
integrated product data management,integrated product data management
Integrated Product Development,integrated product development
Integrated product development process,integrated product development process
Integrated Product Lifecycle Management (PLM),integrated product lifecycle management
Integrated PRoduct Model,integrated product model
integrated product modelling,integrated product modeling
Integrated Product Process and Manufacturing System Development,integrated product process and manufacturing system development
Integrated simulation,integrated simulation
Integrated teaching content,integrated teaching content
integration,integration
Integration,integration
integration framework,integration framework
integration level,integration level
Integration manufacturing,integration manufacturing
integration of industrial and education processes,integration of industrial and education processes
Integration of PDM and SCM,integration of product data management and software configuration management
integration of simulation,integration of simulation
integration of the translators,integration of the translator
integration semantics,integration semantic
Integration technologies,integration technology
