Name;Name (normalized)
Conversion of drawings and specifications to electronic form;conversion of drawing and specification to electronic form
Cooperation;cooperation
Cooperative practices;cooperative practice
Coordinated development;coordinated development
Coordination;coordination
Copyrights;copyright
Corporate real estate managers;corporate real estate manager
Corrective maintenance;corrective maintenance
correlation analysis;correlation analysis
Cost;cost
Costs;cost
Cost analysis;cost analysis
Cost and schedule;cost and schedule
cost and schedule;cost and schedule
Cost and schedule combined control;cost and schedule combined control
Cost-benefit analysis (CBA);cost benefit analysis
Cost codes;cost code
Cost consultants;cost consultant
Cost control;cost control
Cost estimates;cost estimate
Cost estimate;cost estimate
cost estimate;cost estimate
Cost estimating;cost estimating
Cost estimating system;cost estimating system
Cost estimating with BIM;cost estimating with BIM
Cost estimation;cost estimation
cost estimation;cost estimation
cost information;cost information
Cost information model;cost information model
Cost management;cost management
Cost model;cost model
Cost reduction;cost reduction
Coupling;coupling
Course;course
Course development;course development
Cradle-to-cradle;cradle to cradle
Crane operation;crane operation
Creativity;creativity
Crew assignment;crew assignment
Critical factor;critical factor
Critical Making;critical making
CPM;critical path method
Critical path method;critical path method
critical realism;critical realism
Critical realism;critical realism
Critical review;critical review
Critical risk factors (CRFs);critical risk factor
critical success factors;critical success factor
Critical success factor (CSF);critical success factor
Critical success factors;critical success factor
Cross-domain model analysis;cross domain model analysis
Cross platform integration;cross platform integration
Crossrail UK project;crossrail UNITED KINGDOM project
crowd evacuation;crowd evacuation
Crowd modeling and simulation;crowd modeling and simulation
Cultural heritage;cultural heritage
Cultural heritage sustainable management;cultural heritage sustainable management
Cultural-historical activity;cultural historical activity
Cultural historical activity theory;cultural historical activity theory
Cultural-historical activity theory;cultural historical activity theory
Curricula;curricula
Curriculum;curriculum
Curriculum development;curriculum development
curriculum development;curriculum development
Curriculum planning;curriculum planning
Curriculum reform;curriculum reform
Curvature;curvature
curved wall;curved wall
Customer needs;customer need
Customer value;customer value
customized;customized
Cyber-physical spaces;cyber physical space
Cyber-physical systems;cyber physical system
D/H;D/H 
D-s evidence;Dempster Shafer evidence
Daily light integral;daily light integral
Damage;damage
Damage assessment;damage assessment
damage detection;damage detection
Damaged building;damaged building
dashboard;dashboard
Dassault system;DASSAULT SYSTEMES
data;data
Data acquisition;data acquisition
Data analysis;data analysis
Data as a service;data as a service
Data collection template;data collection template
Data communication;data communication
Data compatibility;data compatibility
Data conversion;data conversion
Data-distribution;data distribution
Data exchange;data exchange
Data export;data export
Data Hub;data hub
data input system;data input system
Data integration;data integration
Data interoperability;data interoperability
data management;data management
data mapping;data mapping
Data mapping;data mapping
Data Model;data model
Data model;data model
data modelling;data modeling
Data monitoring;data monitoring
Data platform;data platform
Data processing;data processing
Data query;data query
Data requirements;data requirement
Data reuse;data reuse
Data schema;data schema
Data Standard;data standard
Data storage;data storage
data storage;data storage
Data structure;data structure
Data transfer;data transfer
Data transformation interface;data transformation interface
Data visualization;data visualization
Data Warehouse Technology;data warehouse technology
Data Warehouse technologies;data warehouse technology
databases;database
Database;database
Database management system;database management system
David B. Rosenbaum;DAVID B ROSENBAUM
David Epps;DAVID EPPS
DA daylight autonomy;daylight autonomy
DF daylight factor;daylight factor
Daylighting;daylighting
Daylighting simulation;daylighting simulation
daylighting simulation;daylighting simulation
DAYSIM;DAYSIM
decision analysis;decision analysis
Decision making;decision making
Decision-making;decision making
Decision-making trial and evaluation laboratory (DEMATEL);decision making trial and evaluation laboratory
Decision-support;decision support
Decision support;decision support
Decision support system;decision support system
Decision support system (DSS);decision support system
Decision support systems;decision support system
Decision Support Systems;decision support system
decisions making;decisions making
Deconstruction;deconstruction
Deep belief network;deep belief network
Deep energy retrofitting;deep energy retrofitting
Deep Excavation;deep excavation
Deep foundation;deep foundation
Deep learning;deep learning
Deeprenovation;deep renovation
Default configuration;default configuration
Defect detection;defect detection
Defect knowledge transfer;defect knowledge transfer
defect management;defect management
Degree of compaction;degree of compaction
Delay;delay
Delphi method;delphi method
Delphi study;delphi study
DEM;digital elevation model
Demolished buildings;demolished building
Demolition waste minimisation;demolition waste minimization
Denmark;DENMARK
Dependency matrix;dependency matrix
Derivative;derivative
DES;discrete event simulation
design;design
Design;design
Design aid;design aid
design aid;design aid
Design and build;design and build
Design and construction;design and construction
Design and construction planning;design and construction planning
Design and development;design and development
design automation;design automation
Design backslide;design backslide
Design-build;design build
design-build;design build
Design changes;design change
Design code;design code
Design collaboration;design collaboration
Design Complexity;design complexity
Design compliance checking;design compliance checking
Design components;design component
Design constraints;design constraint
Design coordination;design coordination
Design Coordination;design coordination
Design decision;design decision
Design decomposition;design decomposition
Design-detail-fabricate;design detail fabricate
Design development;design development
Design education;design education
Design errors;design error
Design essentials;design essential
Design features;design feature
Design for deconstruction;design for deconstruction
Design for maintenance accessibility;design for maintenance accessibility
Design for safety;design for safety
design knowledge modeling;design knowledge modeling
Design Laboratory;design laboratory
Design management;design management
design management;design management
Design methods & aids;design method and aid
Design methodologies;design methodology
Design model validation;design model validation
Design negotiations;design negotiation
Design optimisation;design optimization
Design organizations;design organization
design out waste;design out waste
Design patterns;design pattern
Design performance assessment;design performance assessment
Design practice;design practice
Design precedents;design precedent
Design process;design process
design process;design process
Design rationale;design rationale
Design review;design review
Design Rule Checking;design rule checking
Design rule checking;design rule checking
Design Science;design science
Design structure matrix (DSM);design structure matrix
Design studio;design studio
Design studios;design studio
Design support;design support
Design team;design team
Design-to-fabrication;design to fabrication
design tools;design tool
Design verification;design verification
Design Visualisation;design visualization
designers;designer
Designer-client communication;designer client communication
Desktop sharing;desktop sharing
Detailed design;detailed design
Detailed Estimate;detailed estimate
Detailed scheduling;detailed scheduling
Deterrent effect;deterrent effect
Development;development
development consideration;development consideration
Development-support Tools;development support tool
Diagnosis;diagnosis
Diff;diff
Diff and merge;diff and merge
Differentiation;differentiation
Diffusion;diffusion
diffusion;diffusion
diffusion of innovations;diffusion of innovation
Diffusion of innovations;diffusion of innovation
Digital;digital
Digital architecture;digital architecture
Digital chain;digital chain
Digital data;digital data
Digital design;digital design
Digital drawing;digital drawing
Digital earth space;digital earth space
digital fabrication;digital fabrication
digital fabrication continuum;digital fabrication continuum
Digital facility model;digital facility model
Digital Graphics;digital graphic
Digital infrastructure;digital infrastructure
Digital interface;digital interface
Digital media instruction;digital media instruction
Digital Mockup;digital mockup
Digital models;digital model
Digital-modelling;digital modeling
Digital process;digital process
digital process chain;digital process chain
Digital project;digital project
Digital protection;digital protection
Digital railway;digital railway
Digital solutions;digital solution
Digital techniques;digital technique
Digital technology;digital technology
digital technologies;digital technology
Digital technologies;digital technology
Digital tools;digital tool
Digitally supported collaboration environment;digitally supported collaboration environment
Digitizers;digitizer
Dimension assessment;dimension assessment
Dimension estimation;dimension estimation
Dimension reduction;dimension reduction
Dimensional and surface quality assessment;dimensional and surface quality assessment
Dimensional quality assurance (DQA);dimensional quality assurance
Disasters;disaster
disaster management;disaster management
disaster preparedness;disaster preparedness
Disclaimer;disclaimer
discounted payback time;discounted payback time
Discrepancies;discrepancy
Discrete event simulation (DES);discrete event simulation
Discrete manufacturing;discrete manufacturing
Disputes & arbitration;dispute and arbitration
Dispute resolution;dispute resolution
Distributed and parallel computing;distributed and parallel computing
Distributed generation;distributed generation
Distributed information;distributed information
Distributed representation;distributed representation
distributed tuple space;distributed tuple space
Diversified development;diversified development
Division 01;division 01
Division 34;division 34
DMU;digital mockup
Document Management;document management
Document-oriented database;document oriented database
Documentation;documentation
DOE-2;DOE-2
Domain analysis;domain analysis
Domain ontology;domain ontology
Domain specific language;domain specific language
Domain Specific Language;domain specific language
Domain-specific modeling;domain specific modeling
Domain vocabulary;domain vocabulary
Dominant decomposition;dominant decomposition
Dongdaemun Design Park (DDP);dongdaemun design park
Dongdaemun History and Culture Park (DHCP);dongdaemun history and culture park
Double-curved faÃ§ade;double curved facade
Dr John Todd;DR JOHN TODD
Drawing;drawing
Drawings;drawing
drosophila;drosophila
Drywall sanding;drywall sanding
Durability;durability
Durability of concrete structure;durability of concrete structure
Dynamic;dynamic
Dynamic capabilities;dynamic capability
Dynamic emergency evacuation;dynamic emergency evacuation
Dynamic simulation;dynamic simulation
Dynamo;DYNAMO
early design;early design
Early design stages;early design stage
Early stage design;early stage design
early stage of architectural design;early stage of architectural design
Earned value;earned value
EarthCam;EARTHCAM
Earthmoving machinery;earthmoving machinery
Earthquake;earthquake
Earthquakes;earthquake
Earthquake damage;earthquake damage
Ecological;ecological
Ecological architecture course;ecological architecture course
Economic analysis;economic analysis
Economic and workforce development;economic and workforce development
Economic impact;economic impact
Ecotect;ECOTECT ANALYSIS
AutodeskÂ® ecotectÂ® analysis 2010;ECOTECT ANALYSIS
Ecotect energy consumption analysis;ECOTECT ANALYSIS energy consumption
Education;education
education;education
Education for sustainability;education for sustainability
Education in building information modelling;education in building information modeling
Educational training;educational training
Effective communication;effective communication
Effective waste management;effective waste management
effectiveness;effectiveness
Effectiveness;effectiveness
Efficiency;efficiency
Efficient XML interchange;efficient XML interchange
EI;environmental impact
Electric power construction;electric power construction
Electrical;electrical
Electrical construction;electrical construction
Electrical equipment;electrical equipment
Electrical systems;electrical system
E-business;electronic business
E-collaboration;electronic collaboration
Electronic commerce;electronic commerce
electronic commerce;electronic commerce
E-commerce;electronic commerce
Electronic marketplaces;electronic marketplace
e-Process;electronic process
Electronic procurement;electronic procurement
Electronic product code;electronic product code
Electronic services;electronic service
Electronic submission;electronic submission
Elevated Lens;elevated lens
Embeds;embed
Embodied carbon;embodied carbon
Embodied carbon footprint;embodied carbon footprint
Embodied carbon reduction;embodied carbon reduction
Embodied energy;embodied energy
Embodied environmental impact;embodied environmental impact
emergency preparedness;emergency preparedness
Emergency rescue;emergency rescue
Emergency response;emergency response
emergency response;emergency response
Emergency response operation;emergency response operation
Emerging Markets;emerging market
Emerging technologies and practices;emerging technology and practice
Emission reduction;emission reduction
Employer's information requirements;employer information requirement
Enclosing system;enclosing system
End-of-life phase;end of life phase
Energy;energy
Energy analysis;energy analysis
Energy analysis and simulation;energy analysis and simulation
Energy awareness and efficiency;energy awareness and efficiency
Energy conservation;energy conservation
Energy consumption;energy consumption
Energy cycle;energy cycle
Energy efficiency;energy efficiency
energy efficiency;energy efficiency
Energy efficiency evaluation;energy efficiency evaluation
Energy efficient building;energy efficient building
Energy efficient buildings;energy efficient building
Energy efficient building lifecycle;energy efficient building lifecycle
Energy efficient design;energy efficient design
energy-efficient design for buildings;energy efficient design for building
Energy management;energy management
Energy modeling;energy modeling
Energy operation center;energy operation center
Energy performance;energy performance
Energy performance assessment (EPA);energy performance assessment
Energy performance assessments;energy performance assessment
Energy-performance-based architecture;energy performance based architecture
Energy performance simulation;energy performance simulation
Energy property information;energy property information
energy ratings;energy rating
Energy rehabilitation;energy rehabilitation
Energy renovation;energy renovation
Energy retrofit;energy retrofit
Energy saving;energy saving
energy saving;energy saving
Energy-saving exterior;energy saving exterior
Energy saving system;energy saving system
energy simulation;energy simulation
Energy simulation;energy simulation
Energy Simulation;energy simulation
Energy simulation input (INP) file;energy simulation input file
Energy use intensity (EUI);energy use intensity
EnergyPlus;ENERGYPLUS
Enforcement puzzle;enforcement puzzle
Engineering;engineering
Engineering and construction;engineering and construction
Engineering and construction industry;engineering and construction industry
Engineering communication;engineering communication
Engineering contract;engineering contract
Engineering control;engineering control
Engineering design and analysis models;engineering design and analysis model
Engineering education;engineering education
Engineering Education;engineering education
engineering education;engineering education
Engineering general contractor;engineering general contractor
Engineering graphics;engineering graphic
Engineering project;engineering project
Engineering technology;engineering technology
engineering-tools;engineering tool
ENR Global Summit;engineering new record global summit
Enterprise interoperability;enterprise interoperability
Entropy method;entropy method
Envelop;envelop
Environmental impacts;environmental impact
Environmental impact;environmental impact
Environmental impact assessment;environmental impact assessment
Environmental planning;environmental planning
Environmental product declaration;environmental product declaration
Environmental sensors;environmental sensor
Environmentally conscious design;environmentally conscious design
ePlan;EPLAN
EPlanIT;EPLANIT
Equilibrium optimization;equilibrium optimization
ER model;entity relationship model
Error;error
Errors;error
Escape route planning;escape route planning
Essence and connotation;essence and connotation
Estimate;estimate
Estimating;estimating
estimating;estimating
Estimating services;estimating service
ethics;ethic
Ethnographic action research;ethnographic action research
ethnography;ethnography
Europe;europe
evacuation;evacuation
Evacuation;evacuation
Evacuation assessment;evacuation assessment
Evacuation regulation;evacuation regulation
Evacuation simulation;evacuation simulation
Evaluation;evaluation
evaluation criteria;evaluation criteria
Evaluation system;evaluation system
Evolution model;evolution model
Evolutionary computing;evolutionary computing
Evolutionary theory of innovation;evolutionary theory of innovation
evolving database;evolving database
excavation pit;excavation pit
Exchange;exchange
Exempla;exemple
Exergy analysis;exergy analysis
Existing architecture;existing architecture
existing buildings;existing building
Existing buildings;existing building
Expansive learning;expansive learning
expectations;expectation
Experiential learning;experiential learning
Experimental dataset;experimental dataset
Experimentation;experimentation
Experts and novices;expert and novice
Expert system;expert system
expertise;expertise
Exploratory factor analysis;exploratory factor analysis
Extended Process to Product Modeling (xPPM);extended process to product modeling
External-;external 
External wall;external wall
Extract transform load;extract transform load
Fabrication;fabrication
Fabrication engineering;fabrication engineering
Fabrication error;fabrication error
Fabrication modeling;fabrication modeling
Facade measurement;facade measurement
FaÃ§ade segmentation;facade segmentation
Faceted retrieval;faceted retrieval
Facilities;facility
Facility dimensions optimization;facility dimension optimization
Facility layout optimization;facility layout optimization
Facility lifecycle;facility lifecycle
Facility life cycle;facility lifecycle
Facilities management;facility management
Facility management;facility management
FM;facility management
Facilities management (FM);facility management
Facilities Management;facility management
facility management;facility management
Facility Management;facility management
Facilities management (premises);facility management premise
Facility owners;facility owner
Facility reuse;facility reuse
factor analysis;factor analysis
Factor analysis;factor analysis
Failure mode and effects analysis;failure mode and effect analysis
Fall hazard prevention;fall hazard prevention
Fall protection;fall protection
fall protection;fall protection
Fallacy;fallacy
Family library;family library
Fast Marching Method (FMM);fast marching method
Fault detection and diagnostics;fault detection and diagnostic
Fault Detection and Diagnostics;fault detection and diagnostic
Fault tree analysis;fault tree analysis
Feature-based modelling;feature based modeling
Feature extraction;feature extraction
Feature lexicon;feature lexicon
Feature modeling;feature modeling
Federated model;federated model
Fees;fee
Feedback;feedback
feedback;feedback
FEM;finite element model
FEMA;federal emergency management agency
Fiatech;FIATECH
Field-level;field level
Field trials;field trial
Fieldwork efficiency;fieldwork efficiency
Final energy consumption;final energy consumption
Finance;finance
Financial decision making;financial decision making
Fine management;fine management
Finite element models;finite element model
Fire and explosion index;fire and explosion index
Fire control and management system;fire control and management system
Fire Control System;fire control system
Fire emergency;fire emergency
fire emergency;fire emergency
Fire engineering;fire engineering
Fire response;fire response
Fire safety education;fire safety education
Fire safety engineering;fire safety engineering
Fire safety equipment maintenance;fire safety equipment maintenance
Fire sensor;fire sensor
Firefly algorithm;firefly algorithm
First responder;first responder
flash flood;flash flood
Flat roof;flat roof
Flatness;flatness
flood;flood
Floods;flood
Flood damage assessment;flood damage assessment
flood damage assessment;flood damage assessment
Flooding hazards;flooding hazard
Floor plan design;floor plan design
Flow;flow
Focus group;focus group
Focused group interviews;focused group interview
form finding;form finding
Formal verification;formal verification
Formalized requirements management;formalized requirement management
Formwork engineering;formwork engineering
Formwork support system;formwork support system
Foundation;foundation
Fragmentation;fragmentation
Fragmentation issue;fragmentation issue
Fragmented Mindsets;fragmented mindset
Frame design;frame design
Frameworks;framework
Framework;framework
framework;framework
Framework model;framework model
framework model;framework model
Framing;framing
Free-form buildings;free form building
Full life-cycle BIM;full lifecycle BIM
Full-scale test;full scale test
Functions;function
Fusion technology;fusion technology
Futures;future
Future energy;future energy
Fuzzy-based risk analysis;fuzzy based risk analysis
Fuzzy Delphi Method;fuzzy delphi method
Fuzzy logic;fuzzy logic
Fuzzy ontologies;fuzzy ontology
GA;genetic algorithm
Game design;game design
Game engine;game engine
Game interfaces;game interface
Gaming;gaming
Gaming simulation;gaming simulation
GANetXL;GANETXL
Gap analysis;gap analysis
GbXML;green building XML
General - Allgemeines;general
Generalized Procrustes Analysis;generalized procruste analysis
Generative design;generative design
generic process model;generic process model
Genetic algorithm;genetic algorithm
Genetic algorithms;genetic algorithm
Genetic Algorithm;genetic algorithm
Genetic algorithms (GAS);genetic algorithm
Geodesign;geodesign
Geo-design;geodesign
Geographic;geographic
GIS;geographic information system
Geographic information systems;geographic information system
Geographic information system;geographic information system
Geographic information system (GIS);geographic information system
Geographic information system (gis);geographic information system
System (GIS);geographic information system
Gis & bim integration;geographic information system and BIM integration
GIS/BIM data;geographic information system and BIM data
GIS mapping;geographic information system mapping
geographical information systems (GIS);geographical information system
Geographical Information System (GIS);geographical information system
Geometric condition;geometric condition
Geometric feature;geometric feature
Geometric modeling;geometric modeling
Geometric modelling;geometric modeling
Geometric reasoning;geometric reasoning
Geometric reasoning for automated modeling;geometric reasoning for automated modeling
Geometrical and topological analysis;geometrical and topological analysis
Geometrical and topological representations;geometrical and topological representation
Geometry;geometry
Geometry matching;geometry matching
Geometry simplification;geometry simplification
Geospatial;geospatial
Geospatial information acquisition technology;geospatial information acquisition technology
geospatial ontologies;geospatial ontology
geotechnical data;geotechnical data
Geotechnical investigation;geotechnical investigation
GHG communication;greenhouse gas communication
GHG emissions;greenhouse gas emission
GHG quantification;greenhouse gas quantification
Global Construction;global construction
Global positioning system;global positioning system
Global teams;global team
Global virtual teams;global virtual team
global warming potential (GWP);global warming potential
Globalization;globalization
Goal;goal
Governance;governance
governance;governance
Government policy;government policy
graduate education;graduate education
graph;graph
Graph;graph
Graph-based model;graph based model
Graph grammar synchronization;graph grammar synchronization
Graph theory;graph theory
Graphic editor;graphic editor
Graphic reconstruction;graphic reconstruction
graphical modeling;graphical modeling
Graphical user interface;graphical user interface
Grasshopper;GRASSHOPPER
GRC;glass reinforced concrete
Green and sustainability;green and sustainability
Green BIM;green BIM
Green BIM template (GBT);green BIM template
Green buildings;green building
Green building;green building
green buildings;green building
Green building assessment;green building assessment
Green building assessment building information modeling;green building assessment building information modeling
Green building design;green building design
Green building ratings;green building rating
Green building rating systems;green building rating system
Green Building Studio;green building studio
Green building XML (gbXML);green building XML
Green construction;green construction
Green design;green design
Green procurement;green procurement
Green skills;green skill
Green sports building;green sport building
Green standard for energy and environmental design (G-SEED);green standard for energy and environmental design
green star;green star
Green star rating;green star rating
Green template;green template
Grid cell-based algorithm;grid cell based algorithm
Grounded theory;grounded theory
Groupware;groupware
GroupWare;groupware
Guangzhou;guangzhou
Guidelines;guideline
H+l/davis;h and l davis
Hadoop framework;hadoop framework
Han-ok;hanok
Handheld mobile devices;handheld mobile device
Handover;handover
Hanok;hanok
Harmony search optimization;harmony search optimization
Hazard area identification;hazard area identification
Hazard gas;hazard gas
Hazard identification;hazard identification
Hazard prevention analysis;hazard prevention analysis
Hazard recognition and communication;hazard recognition and communication
HBRP;housing building refurbishment plan
health;health
Health and safety;health and safety
Health and safety management;health and safety management
Health and Safety Management;health and safety management
health impact;health impact
Healthcare;healthcare
Healthcare facilities;healthcare facility
Heat capacity;heat capacity
Heat maps;heat map
Heat transfer;heat transfer
Heat transfer analysis simulation;heat transfer analysis simulation
HVAC;heating ventilating and air conditioning
HVAC heating ventilating and air conditioning;heating ventilating and air conditioning
HVAC system;heating ventilating and air conditioning system
HVAC system repair;heating ventilating and air conditioning system repair
Heavy construction equipment;heavy construction equipment
Heavy rainstorm;heavy rainstorm
Helthcare facility management;helthcare facility management
Heritage;heritage
Heritage buildings;heritage building
Hidden info;hidden info
Hierarchical nesting;hierarchical nesting
High-definition building information modeling (HIDEF BIM);high definition building information modeling
High performance steel fiber reinforced concrete;high performance steel fiber reinforced concrete
High-rise and complex buildings;high rise and complex building
High-rise steel structure;high rise steel structure
Higher education;higher education
Highway design and construction;highway design and construction
Historic;historic
Historic building information modelling;historic building information modeling
HBIM;historic building information modeling
Historical building heritage;historical building heritage
Historical Building Information Modelling;historical building information modeling
Historical photography architecture;historical photography architecture
HMA;hot mix asphalt
Hoar construction;HOAR CONSTRUCTION
Holder construction;holder construction
Holistic approach;holistic approach
Holistic design issues;holistic design issue
Home design;home design
Hong Kong;HONG KONG
Hospitals;hospital
Hospital;hospital
Hough transform;hough transform
Housing construction;housing construction
Housing industry;housing industry
Housing information;housing information
Housing management;housing management
Housing production;housing production
Housing project;housing project
human-computer interaction;human computer interaction
human computer interaction;human computer interaction
Human-computer interfaces;human computer interface
human factors;human factor
Hurricane resistance;hurricane resistance
hybrid strategies;hybrid strategy
Hybrid system;hybrid system
Hybrid teams;hybrid team
Hydropower Project Information Modeling;hydropower project information modeling
Hype;hype
Hypergraph representation of buildings;hypergraph representation of building
Hypergraph transformation;hypergraph transformation
Hypergraph transformations;hypergraph transformation
I-CMM;interactive capability maturity mode
Iberian Peninsula;iberian peninsula
IBIM;IBIM
ICC;international code council
Ice;integrated concurrent engineering
Iceland;ICELAND
ICT;information and communication technology
IDM;information delivery manual
IDM/ MVD;information delivery manual and model view definition 
Ilding Structure;building structure
Image-based 3D reconstruction;image based 3D reconstruction
Image-based CAAD;image based computer aided architectural design
Image-based verification;image based verification
Image-matching;image matching
Image processing;image processing
image processing;image processing
Image processing technology;image processing technology
image reconstruction;image reconstruction
Image registration;image registration
Imagery;imagery
Imaging techniques;imaging technique
Immersive environments;immersive environment
Immersive visualization;immersive visualization
Implementation;implementation
implementation;implementation
Implementation deepness;implementation deepness
Implementation scope;implementation scope
Implementation steps;implementation step
in-network inference;in network inference
in vivo fabrication;in vivo fabrication
Incentives;incentive
Incentive mechanism;incentive mechanism
Incremental launching construction;incremental launching construction
Index;index
Individual BIM competencies;individual BIM competency
Indoor;indoor
Indoor Environmental Quality (IEQ);indoor environmental quality
Indoor environmental quality;indoor environmental quality
Indoor fire emergency;indoor fire emergency
Indoor illumination analysis;indoor illumination analysis
Indoor localization;indoor localization
Indoor mapping;indoor mapping
Indoor modeling;indoor modeling
Indoor navigation;indoor navigation
Indoor network;indoor network
indoor positioning;indoor positioning
Indoor positioning;indoor positioning
Indoor scanning;indoor scanning
Indoor spaces;indoor space
Industrial building system;industrial building system
Industrialised Building System (IBS);industrialised building system
Industrialised Building System (IBS) Building Maintenance;industrialised building system building maintenance
Industrialization;industrialization
Industrialized building (IB);industrialized building
industrialized building;industrialized building
Industrialized building system buildings;industrialized building system building
Industrialized construction;industrialized construction
Industrialized residential buildings;industrialized residential building
Industry;industry
Industry adoption;industry adoption
industry-driven research;industry driven research
IFC;industry foundation classes
Industry foundation classes;industry foundation classes
Industry Foundation Classes;industry foundation classes
IFC(industrial foundation classes);industry foundation classes
Ifc;industry foundation classes
Industry foundation class;industry foundation classes
Industry foundation classes (IFCs);industry foundation classes
Classes (IFC);industry foundation classes
Industrial foundation class (ifc);industry foundation classes
Industry foundation class(IFC);industry foundation classes
industry foundation classes;industry foundation classes
Industry Foundation Classes - IFC;industry foundation classes
industry foundation class;industry foundation classes
Industry Foundation Classes (IFC);industry foundation classes
Industry foundation class (IFC);industry foundation classes
Industry foundation classes (IFC);industry foundation classes
Industry Foundation Class (IFC);industry foundation classes
industry foundation classes (IFC);industry foundation classes
IFC attribute set;IFC attribute set
Industry Foundation Classes extensible markup language (ifcXML);IFCXML
IFC extension;IFC extension
IFC-format BIM Model;IFC format BIM model
IFC-IDF converting system;IFC input data format converting system
Industry foundation class model server;industry foundation classes model server
IFC optimization;IFC optimization
IFC schema checking;IFC schema checking
IFC standard;IFC standard
Industry foundation classes (IFC) standard;IFC standard
IFC views;IFC view
IFCXML;IFCXML
ifcXML;IFCXML
Infinite horizon of contract;infinite horizon of contract
Influence diagrams;influence diagram
influential factors;influential factor
Information;information
Information and communications technologies (ICT);information and communication technology
Information and communication technologies;information and communication technology
information asymmetry;information asymmetry
Information-based railway;information based railway
Information capture and representation;information capture and representation
Information collaboration;information collaboration
Information communication technology;information communication technology
Information component;information component
Information delivery;information delivery
Information Delivery Manual (IDM);information delivery manual
Information delivery manual (IDM);information delivery manual
Information delivery manual;information delivery manual
Information exchange;information exchange
Information exchanges;information exchange
Information filtering;information filtering
Information flow;information flow
Information Flow;information flow
Information infrastructure;information infrastructure
Information integrating and sharing;information integrating and sharing
Information integration;information integration
Information interchangeability;information interchangeability
Information management;information management
information management;information management
Information model;information model
Information models;information model
information modelling;information modeling
Information modelling;information modeling
Information modeling;information modeling
Information resources;information reource
information repository;information repository
EIR;employer information requirement
Information requirements;information requirement
Information retrieval;information retrieval
Information security;information security
Information sharing;information sharing
Information standard;information standard
information system;information system
Information systems;information system
information systems;information system
information techniques;information technique
Information technologies;information technology
Information technology;information technology
Information technology (IT);information technology
Information Technology;information technology
Information Technologies;information technology
IT;IT
IT building design and construction;IT building design and construction
IT building design per cent 26 construction;IT design per cent 26 construction
IT/CAD/VR;IT CAD virtual reality
IT/Design;IT design
IT/design;IT design
It innovation;IT innovation
Information technology/maintenance;IT maintenance
IT management;IT management
IT trategies;IT strategy
Information technology strategy;information technology strategy
IT strategies;IT strategy
IT adoption;IT adoption
It and collaboration;IT and collaboration
Information transfer;information transfer
Information Transmission;information transmission
Information utilization;information utilization
Information visualization;information visualization
Informational model;informational model
Infrared imaging;infrared imaging
Infrared thermography;infrared thermography
Infrastructure;infrastructure
infrastructure bridges;infrastructure bridge
Infrastructure planning;infrastructure planning
Inherent safety;inherent safety
Injury prevention;injury prevention
Inner-;inner 
innovation;innovation
innovations;innovation
Innovation;innovation
Innovation adoption;innovation adoption
innovation brokers;innovation broker
innovation communication;innovation communication
Innovation, Context;innovation context
Innovation diffusion;innovation diffusion
IDT (Innovation Diffusion Theory);innovation diffusion theory
Innovation diffusion theory (IDT);innovation diffusion theory
Innovation management;innovation management
Innovative Design Interfaces;innovative design interface
Input Data File (IDF);input data file
inspection;inspection
Inspection/research;inspection research
Installation and erection;installation and erection
Institutional theory;institutional theory
Instructional approaches;instructional approach
Instructional management;instructional management
instructional technology;instructional technology
Integrated and intelligent control;integrated and intelligent control
Integrated approach;integrated approach
Integrated Assessment;integrated assessment
Integrated automated control system of road construction works;integrated automated control system of road construction work
Integrated building design;integrated building design
Integrated data layer;integrated data layer
Integrated DEFinition methods (IDEF0 IDEF3);integrated definition method IDEF0 IDEF3
Integrated description;integrated description
Integrated design;integrated design
Integrated Design;integrated design
Integrated design and delivery solutions;integrated design and delivery solution
Integrated design and engineering;integrated design and engineering
Integrated design process;integrated design process
Integrated dynamic model;integrated dynamic model
Integrated energy design;integrated energy design
Integrated information framework;integrated information framework
Integrated modeling;integrated modeling
Integrated pipeline;integrated pipeline
Integrated planning process;integrated planning process
Integrated practice;integrated practice
Integrated product and process models;integrated product and process model
Integrated project delivery (IPD);integrated project delivery
Integrated project delivery;integrated project delivery
Integrated Project Delivery;integrated project delivery
Integrated Project Delivery (IPD);integrated project delivery
IPD;integrated project delivery
Integrated solution;integrated solution
Integrated systems;integrated system
Integration;integration
integration;integration
integration and collaboration;integration and collaboration
Integration control system;integration control system
Integration degree of construction environment;integration degree of construction environment
Intellectual property;intellectual property
Intellectual property rights;intellectual property right
Intelligence;intelligence
Intelligent;intelligent
Intelligent agents;intelligent agent
Intelligent building components;intelligent building component
Intelligent CAAD system;intelligent computer aided architectural design system
Intelligent control;intelligent control
Intelligent design;intelligent design
Intelligent facades;intelligent facade
Intelligent parametric elements;intelligent parametric element
Intellingent Design;intellingent design
Inter-organizational systems;inter organizational system
Interactive;interactive
Interactive CAD;interactive CAD
Interactive design;interactive design
interactive displays;interactive display
Interactive HPC;interactive high performance computing
Interactive learning;interactive learning
Interactive visualization;interactive visualization
Interactivity;interactivity
interdisciplinarity skill development;interdisciplinarity skill development
Interdisciplinary collaboration;interdisciplinary collaboration
Interdisciplinary course;interdisciplinary course
Interdisciplinary teams;interdisciplinary team
Interdisciplinary Team;interdisciplinary team
Interest con ict;interest conflict
Interface;interface
Interfaces;interface
