name;harmonized keywords
factory adaption;factory adaption
factory automation;factory automation
Factory automation;factory automation
Factory Automation;factory automation
factory connectivity standards;factory connectivity standard
Factory connectivity standards;factory connectivity standard
Factory data management;factory data management
Factory Data Management;factory data management
Factory design;factory design
factory design;factory design
FDI;factory design and improvement
Fdi;factory design and improvement
factory design and improvement (FDI);factory design and improvement
factory Extranet;factory extranet
factory floor;factory floor
Factory of Future (FoF);factory for the future
Factory for the future;factory for the future
Factory of the future;factory for the future
Factory of the Future;factory for the future
factory of the future;factory for the future
Factory instrumentation;factory instrumentation
factory Intranet;factory intranet
Factory layout design;factory layout design
Factory layout planning;factory layout planning
Factory Life Cycle;factory lifecycle
Factory life cycle;factory lifecycle
Factory management;factory management
factory modeling;factory modeling
Factory of Future;factory of the future
Factory of future;factory of the future
factories for the future;factory of the future
Factories of the future;factory of the future
factories of the future;factory of the future
Factories of the Future;factory of the future
Factory of things;factory of things
Factory-of-Things (FoT);factory of things
Factory operating;factory operating
Factory Operating;factory operating
Factory operation;factory operation
factory physics;factory physic
factory planning;factory planning
Factory planning;factory planning
Factory Planning;factory planning
Factory planning process;factory planning process
Factory systems;factory system
Factory Templates;factory template
factory wide control;factory wide control
factual knowledge;factual knowledge
fading channel;fading channel
failure analysis;failure analysis
Failure analysis;failure analysis
Failure Diagnosis;failure diagnosis
failure management;failure management
Failure management;failure management
Failure mechanisms;failure mechanism
failure mode;failure mode
Failure mode;failure mode
Failure Mode and Effects Analysis;failure mode and effect analysis
FMEA;failure mode and effect analysis
Failure prognostic;failure prognostic
Failure Prognostic;failure prognostic
Falsified medicine;falsified medicine
Fashion;fashion
Fashion design;fashion design
Fashion industry;fashion industry
fashion supply chain;fashion supply chain
Fast Data;fast data
FFT spectra;fast fourier transform  spectra
Fast prototyping;fast prototyping
fast recoating;fast recoating
Fast recoating;fast recoating
Fast tool servo (FTS);fast tool servo 
Fast works;fast work
Fast Works;fast work
Fastener ring;fastener ring
fastener ring;fastener ring
Fate;fate
Fatigue;fatigue
fatigue;fatigue
Fatigue cracking reinforcement;fatigue cracking reinforcement
Fatigue in work;fatigue in work
Fatigue life;fatigue life
Fault detection;fault detection
Fault Detection;fault detection
fault detection;fault detection
Fault Detection and Diagnosis;fault detection ana diagnosis
fault detection and diagnosis;fault detection ana diagnosis
Fault detection and diagnosis;fault detection ana diagnosis
Fault detection and classification;fault detection and classification
Fault diagnosis;fault diagnosis
fault diagnosis;fault diagnosis
Fault diagnosis support;fault diagnosis support
fault identification;fault identification
Fault monitoring;fault monitoring
Fault prediction;fault prediction
fault prediction;fault prediction
fault tolerance;fault tolerance
Fault Tolerance;fault tolerance
Fault tolerance;fault tolerance
fault-tolerance;fault tolerance
Fault tolerance and high availability;fault tolerance and high availability
Fault-tolerant;fault tolerant
Fault-tree;fault tree
Fault tree analysis;fault tree analysis
fault warning;fault warning
FCGR;fc gamma receptor
Feasibility;feasibility
Feasibility of 'Make in India';feasibility of make in India
Feature;feature
feature;feature
features;feature
Feature-based control;feature based control
Feature-based design;feature based design
feature based machining;feature based machining
Feature based Machining;feature based machining
Feature-based technology;feature based technology
feature correlation;feature correlation
Feature Extraction;feature extraction
Feature extraction;feature extraction
feature extraction;feature extraction
Feature-level capability model;feature level capability model
Feature recognition;feature recognition
feature recognition;feature recognition
feature selection;feature selection
Feature selection;feature selection
federalism and foreign policy;federalism and foreign policy
Federalism and foreign policy;federalism and foreign policy
Federation;federation
federation;federation
FedEx Express;fedex express
Feedback;feedback
feedback;feedback
feedback control;feedback control
Feedforward control;feedforward control
Feedstock;feedstock
female employee;female employee
femtosecond laser;femtosecond laser
femtosecond lasers;femtosecond laser
Feng Xu;Feng Xu
Festival;festival
feywords-Advanced manufacturing;feyword advanced manufacturing
FGTA;FGTA 
Fiber areal weight;fiber areal weight
fiber-based mode-locked laser;fiber based mode locked laser
fiber Bragg grating;fiber bragg grating
Fiber Bragg grating;fiber bragg grating
Fiber bragg grating intelligent perception network;FIber bragg grating intelligent perception network
fiber reinforced composite;fiber reinforced composite
Fiber-reinforced plastics;fiber reinforced plastic
fiber reinforced polymer;fiber reinforced polymer
Fiber-reinforced polymer;fiber reinforced polymer
Fiber technology;fiber technology
fibre;fibre
Fido;Fido
FIDO;Fido
field device;field device
field device data;field device data
field device development;field device development
field device integration;field device integration
field device profiles;field device profil
FDT;field device tool
FDT (Field Device Tool);field device tool
Field engineering;field engineering
Field level automation software;field level automation software
FPGA;field programmable gate array
field programmable gate array (FPGA);field programmable gate array
Field programmable gate arrays;field programmable gate array
FPGA chip;field programmable gate array chip
field study;field study
Field study;field study
Field test;field test
field test;field test
Field tests;field test
FieldBus;fieldbus
Fieldbus;fieldbus
fieldbus;fieldbus
Fieldbuses;fieldbus
fieldbuses;fieldbus
Fieldbus systems;fieldbus system
Figure;figure
Filling and packaging;filling and packaging
Filling coefficient;filling coefficient
Film cooling;film cooling
film cooling effectiveness;film cooling effectiveness
Film cooling effectiveness;film cooling effectiveness
Filtration;filtration
financial development;financial development
Financial indicators;financial indicator
financial indicators;financial indicator
financial instability;financial instability
Financial Instrument;financial instrument
financial management;financial management
Financial risk;financial risk
Financial Support;financial support
Financing;financing
Fine-grained;fine grained
Finishing;finishing
Finite difference method;finite difference method
Finite element;finite element
Finite Element;finite element
finite element analysis;finite element analysis
Finite element analysis;finite element analysis
finite element method;finite element method
Finite element method;finite element method
FEM;finite element model
FEM modeling;finite element model
FEM module;finite element model module
FEM simulation;finite element model simulation
FEMS;finite element model simulation
Finite element modelling;finite element modeling
FE simulation;finite element simulation
Finite element simulation;finite element simulation
finite element simulation;finite element simulation
finite element simulations;finite element simulation
Finite Ground CPW;finite ground conventional coplanar waveguide
Fintech Credit;fintech credit
Fire and explosion safety;fire and explosion safety
Fire and Rescue Service;fire and rescue service
firefly algorithm;firefly algorithm
firewalls;firewall
Firm;firm
firm linkages;firm linkage
Firm performance;firm performance
Firm Performance;firm performance
firm performance;firm performance
Firm size;firm size
Firmware;firmware
firmware;firmware
Firmware vetting;firmware vetting
FDC;first data corp
First wall;first wall
first year student;first year student
Fischer-Tropsch synthesis;fischer Tropsch synthesis
Fishing fleet;fishing fleet
Fitness;fitness
fitting error;fitting error
Fitting method;fitting method
Fixation;fixation
Fixture;fixture
Fixture design and verification;fixture design and verification
Flame thermometry;flame thermometry
Flapping mechanisms;flapping mechanisms
flare;flare
Flash memory;flash memory
Flash reliability;flash reliability
Flatness error evaluation;flatness error evaluation
Flexibility;flexibility
flexibility;flexibility
Flexibility index;flexibility index
Flexibility management;flexibility management
flexibility measurement;flexibility measurement
Flexibility metrics;flexibility metrix
Flexibility potentials;flexibility potential
Flexible;flexible
flexible;flexible
Flexible/intelligent assembly/disassembly cell (F/IA/DC);flexible and intelligent assembly and disassembly cell 
Flexible/Intelligent Manufacturing Cell (F/IMC);flexible and intelligent manufacturing cell 
Flexible/intelligent manufacturing system/cell (F/IMS/C);flexible and intelligent manufacturing system and cell
Flexible/Intelligent Manufacturing System/Cell (F/IMS/C);flexible and intelligent manufacturing system and cell
Flexible/intelligent manufacturing systems/cell (F/IMS/C);flexible and intelligent manufacturing system and cell
Flexible/Intelligent Manufacturing Systems/Cell (F/IMS/C);flexible and intelligent manufacturing system and cell
flexible and reconfigurable manufacturing system;flexible and reconfigurable manufacturing system
Flexible and reconfigurable manufacturing systems;flexible and reconfigurable manufacturing system
Flexible and Reconfigurable Manufacturing Systems;flexible and reconfigurable manufacturing system
flexible and reconfigurable production systems;flexible and reconfigurable manufacturing system
Flexible and reconfigurable production systems;flexible and reconfigurable manufacturing system
Flexible assembly;flexible arm
Flexible assembly cell (FAC);flexible assembly
Flexible assembly line (FAL);flexible assembly cell
Flexible assembly systems;flexible assembly line
Flexible automation;flexible assembly system
Flexible Automation;flexible automation
flexible deployment;flexible deployment
flexible detection;flexible detection
flexible extension;flexible extension
flexible flow shop;flexible flow shop
Flexible flow shop;flexible flow shop
flexible flowshop;flexible flow shop
Flexible flowshop;flexible flow shop
Flexible framework;flexible framework
Flexible Framework;flexible framework
Flexible Job Shop;flexible job shop
flexible job shop;flexible job shop
Flexible job shop problem;flexible job shop problem
flexible job shop scheduling;flexible job shop scheduling
flexible job-shop scheduling;flexible job shop scheduling
Flexible job-shop scheduling;flexible job shop scheduling
Flexible Job-Shop Scheduling;flexible job shop scheduling
Flexible job shop scheduling problem;flexible job shop scheduling problem
flexible job-shop scheduling problem (FJSP);flexible job shop scheduling problem
flexible machining;flexible machining
Flexible manufacturing;flexible manufacturing
flexible manufacturing;flexible manufacturing
Flexible Manufacturing;flexible manufacturing
FMC;flexible manufacturing capability
FMI;flexible manufacturing inovation
Flexible manufacturing system;flexible manufacturing system
flexible manufacturing system;flexible manufacturing system
Flexible Manufacturing System;flexible manufacturing system
Flexible manufacturing system (FMS);flexible manufacturing system
flexible manufacturing systems;flexible manufacturing system
Flexible manufacturing systems;flexible manufacturing system
Flexible Manufacturing Systems;flexible manufacturing system
Flexible manufacturing systems (FMS);flexible manufacturing system
FMS;flexible manufacturing system
FMS(flexible manufacturing system);flexible manufacturing system
Flexible Manufacturing Systems (FMS);flexible manufacturing system 
flexible materials;flexible material
Flexible measurement;flexible measurement
Flexible multi-body dynamics;flexible multi body dynamic
flexible organic substrate;flexible organic substrate
Flexible polymers;flexible polymer
Flexible processes;flexible process
Flexible production;flexible production
Flexible Production;flexible production
flexible ressource-block allocation;flexible ressource block allocation
Flexible ressource-block allocation;flexible ressource block allocation
Flexible scalable system;flexible scalable system
Flexible substrate;flexible substrate
FLEXTRANS 4.0;flexible transaction 4.0
flexible working time models;flexible working time model
flight dynamics;flight dynamic
Flight Recorder Data;flight recorder data
Flipped classroom;flipped classroom
Floating data;floating data
floorplanning;floorplanning
Floorplanning;floorplanning
flotation;flotation
Flow-based computation;flow based computation
Flow boiling heat transfer;flow boiling heat transfer
Flow forming;flow forming
Flow lines;flow line
Flow-NMR;flow NMR
flow separation;flow separation
Flow shop scheduling;flow shop scheduling
Flow Shop Scheduling;flow Shop Scheduling
flow shop scheduling problem;flow Shop Scheduling problem
Flow stress model;flow stress model
Flow table;flow table
Flowshop;flowshop
Floyd method;floyd method
fluid flow;fluid flow
Fluid flow;fluid flow
Fluid/solid coupling;fluid solid coupling
Fluid supply;fluid supply
fluidised-bed steam dryer;fluidised bed steam dryer
Fluorescence thermometry;fluorescence thermometry
Flux cored arc welding;flux cored arc welding
flying probe;flying probe
Flying probe;flying probe
fmancial performance;fmancial performance
foam;foam
Focus Group;focus group
focus group;focus group
Focused ion beam;focused ion beam
FIB;focused ion beam 
focused ion beam (FIB);focused ion beam 
Focused ion beam (FIB);focused ion beam 
FOG;fog
Fog;fog
Fog Computing;fog computing
Fog computing;fog computing
fog computing;fog computing
Fog of IoE;fog of internet of verything 
Fog of Things;fog of thin
folded compositions;folded composition
Folded compositions;folded composition
Folded structure;folded structure
folded structure;folded structure
Food and nutrition;food and nutrition
Food Industry;food industry
food supply chain;food supply chain
Foot insole;foot insole
Footwear industry;footwear industry
Footwear Industry;footwear industry
Force;force
Force Control;force control
forces of production;force of production
Forecast;forecast
Forecasting;forecasting
Foreign Direct Investment and Manufacture Sector;foreign direct investment and manufacture sector
Foresight research;foresight research
Forest products industry;forest products industry
Forewarning Model;forewarning model
Forklift;forklift
form gene clustering;form gene clustering
Formability;Formability
Formal languages;formal language
Formal methods;formal method
Formal Requirements Capture;formal requirement capture
Formal sector;formal sector
formal verification;formal verification
Formal verification;formal verification
Formal Verification;formal verification
formative evaluation;formative evaluation
Formative evaluation;formative evaluation
Formatting;formatting
forming limit;forming limit
FLD;forming limit diagram
forming limit diagram;forming limit diagram
Forming process;forming process
Forming processes;forming process
formulation strategy;formulation strategy
Forward Deployed Technology;forward deployed technology
Foster + Partners;foster and partner
Eddy Current;Foucault current
Eddy current field;Foucault current field
Foundry;foundry
foundry;foundry
four-line bending;four line bending
Four-Stage model;four stage model
fractals;fractal
Fractals;fractal
Fractal enterprises;fractal enterprise
fractal factory;fractal factory
Fractal geometry;fractal geometry
Fractal organization;fractal organization
fractography;fractography
Fractography;fractography
Fracture damage;fracture damage
Fracture mechanics analysis;fracture mechanic analysis
fracture toughness;fracture toughness
Fracture toughness;fracture toughness
Fragile;fragile
Fragmentation of futures;fragmentation of future
frames;frame
Frame maker;frame maker
frame maker;frame maker
frame work;frame work
Framework;frame work
framework;frame work
Framework model;frame work model
Francis Aish;francis aish
FRAND;FRAND
free and open source hardware;free and open source hardware
Free and open source hardware;free and open source hardware
freeform;free form
free-form;free form
freeform concrete;free form concrete
Freeform concrete;free form concrete
free-form machining;free form machining
freeform optics;free form optic
freeform optical design;free form optical design
Freeform surface;free form surface
Free-form surface;free form surface
Freeform surfaces;free form surface
Free-form surfaces;free form surface
free hardware;free hardware
Free hardware;free hardware
free radicals;free radical
Free trade;free trade
Freestream turbulence;freestream turbulence
freight transportation;freight transportation
Freight transportation;freight transportation
frequency converter;frequency converter
Frequency response function;frequency response function
Frequency spectrum;frequency spectrum
Frequent trajectory;frequent trajectory
Fretting;fretting
friction;friction
Friction;friction
Friction-induced selective etching;friction induced selective etching
Friction stir processing;friction stir processing
Friction stir welding (FSW);friction stir welding 
Friction surfacing;friction surfacing
Friedman test;friedman test
fringe projection;fringe projection
front loading;front loading
Frontier Thesis;frontier thesis
Frugal;frugal
FSA;FSA
FTT;FTT 
Fuel contracts;fuel contract
Fuel control sleeve;fuel control sleeve
Fuel flexibility;fuel flexibility
Fuel staging;fuel staging
full current;full current
Full cycle;full cycle
Full density;full density
Full employment;full employment
Full factorial design;full factorial design
full-field;full field
Full-field;full field
Full information model;full information model
Fully mechanized coal mining;fully mechanized coal mining
Function-Behavior-Structure (FBS) Ontology;function behavior structure ontology
function block;function block
Function block;function block
Function blocks;function block
Function Blocks;function block
Function Block - Holonic Agent (FB-HA);function block and holonic agent 
Function-integrated machine tools;function integrated machine tool
function model;function model
I-DEMA℡;function modeling method
Functional agent;functional agent
functional colloids;functional colloid
functional elements;functional element
functional fabrics;functional fabric
functional mock-up interface;functional mock up interface
functional modelling;functional modeling
Functional modelling;functional modeling
Functional objective;functional objective
functional safety;functional safety
Functional safety;functional safety
functional testing;functional testing
Functionalism;functionalism
Functionally gradient material;functionally gradient material
functor;functor
Functor;functor
Fundamental strategy in DfM - verifying a potential product design;fundamental strategy in DfM and verifying a potential product design
Funding;funding
Furniture manufacturing;furniture manufacturing
Further development;further development
Further Education and Training (FET);further education and training 
Fused deposition machine;fused deposition machine
FDM;fused deposition modeling
Fused Deposition Modeling;fused deposition modeling
Fused deposition modeling;fused deposition modeling
fused deposition modeling;fused deposition modeling
Fused Deposition Modeling (FDM);fused deposition modeling
Fused deposition modeling (FDM);fused deposition modeling
Fused deposition modelling;fused deposition modeling
Fused Deposition Modelling;fused deposition modeling
fused deposition modelling;fused deposition modeling
fused deposition modelling (FDM);fused deposition modeling
Fused-Deposition-Modeling;fused deposition modeling
Fusion;fusion
Fusion analysis;fusion analysis
Fusion nuclear technologies;fusion nuclear technology
Future;future
Future concept MES 4.0;future concept manufacturing execution system 4.0
Future development;future development
Future factory;future factory
future industrial systems;future industrial system
Future Internet;future internet
Future internet;future internet
future Internet;future internet
Future internet enterprise systems;future internet enterprise system
Future manufacturing;future manufacturing
Future networks;future network
future of work;future of work
Future skills;future skill
Future trends;future trend
fuzzily weighted recursive least-squares estimation;fuzzily weighted recursive least squares estimation
fuzzy;fuzzy
Fuzzy;fuzzy
Fuzzy agility index;fuzzy agility index
Fuzzy Agility Index;fuzzy agility index
Fuzzy AHP;fuzzy analytic hierarchy process
fuzzy analytic hierarchy process;fuzzy analytic hierarchy process
Fuzzy analytic hierarchy process;fuzzy analytic hierarchy process
Fuzzy analytic network process;fuzzy analytic hierarchy process
Fuzzy analytical hierarchy process(1);fuzzy analytic hierarchy process
Fuzzy Analytic Network Process (FANP);Fuzzy analytic network process 
fuzzy axiomatic design approach;fuzzy axiomatic design approach
fuzzy clustering;fuzzy clustering
Fuzzy clustering(FCM);fuzzy clustering
Fuzzy comprehensive evaluation;fuzzy comprehensive evaluation
Fuzzy Comprehensive Evaluation Algorithm;fuzzy comprehensive evaluation algorithm
fuzzy control;fuzzy control
Fuzzy control;fuzzy control
Fuzzy Control;fuzzy control
Fuzzy Controller;fuzzy controller
Fuzzy DEMA℡;fuzzy DEMA
Fuzzy graph theoretic approach;fuzzy graph theoretic approach
Fuzzy heterogeneous information;fuzzy heterogeneous information
Fuzzy inference;fuzzy inference
Fuzzy IPPS;fuzzy integrated process planning and scheduling
Fuzzy linear regression;fuzzy linear regression
Fuzzy linguistic approach;fuzzy linguistic approach
Fuzzy logic;fuzzy logic
fuzzy logic;fuzzy logic
fuzzy logics;fuzzy logic
Fuzzy logics;fuzzy logic
Fuzzy Logic Control;fuzzy logic control
Fuzzy Matriced Impacts Croise's Multiplication Appliquée aUN Classement (FMICMAC);fuzzy matriced impacts croise's multiplication appliquation and classement 
Fuzzy Matriced' Impacts Croise's Multiplication Applique'e a UN Classement (FMICMAC);fuzzy matriced impacts croise's multiplication appliquation and classement 
Fuzzy merit important index;fuzzy merit important index
Fuzzy Merit Important Index;fuzzy merit important index
Fuzzy-MOORA;fuzzy moora
Fuzzy multi-criteria decision making;fuzzy multi criteria decision making
Fuzzy multi-level multi-criteria decision making (FMLMCDM);fuzzy multi level multi criteria decision making 
Fuzzy multiple attribute decision making (FMADM);fuzzy multiple attribute decision making 
fuzzy number;fuzzy number
fuzzy ranking;fuzzy ranking
fuzzy regression;fuzzy regression
fuzzy relational clustering;fuzzy relational clustering
fuzzy rule-based systems;fuzzy rule based system
Fuzzy set;fuzzy set
fuzzy sets;fuzzy set
Fuzzy sets;fuzzy set
Fuzzy set theory;fuzzy set theory
fuzzy set theory;fuzzy set theory
Fuzzy similar preferable ratio;fuzzy similar preferable ratio
fuzzy similar preferable ratio;fuzzy similar preferable ratio
Fuzzy Technique for Order Preference by Similarity to Ideal Solution (FTOPSIS);fuzzy technique for order preference by similarity to ideal solution 
Fuzzy TOPSIS;fuzzy topsis
Fuzzy-TOPSIS;fuzzy topsis
G-Cloud OS for Industrial Application;G cloud operation system for industrial application
GA;GA
Gain and offset mismatches;gain and offset mismatche
Galileo;Galileo
GaAs;gallium arsenide
GALS;GALS 
Galvanometer;Galvanometer
Game model;game model
Game Model;game model
Game Programmming;game programmming
Game theory;game theory
game theory;game theory
Game Theory;game theory
gamification;gamification
Gamification;gamification
Gamma-TiAl;gamma tial
Gantry Crane System;gantry crane system
Gantt chart;gantt chart
gap analysis;gap analysis
Gap and Process Analysis;gap and process analysis
Gapless data;gapless data
Garment manufacture;garment manufacture
gas diffusion electrdes;gas diffusion electrde
Gas flow condition;gas flow condition
GMAW;gas metal arc welding
Gas quenching;gas quenching
Gas turbine cooling;gas turbine cooling
Gasification;gasification
gasification of biomass;gasification of biomass
Gasoline engine;gasoline engine
Gateway;gateway
Gaussian mixture model;gaussian mixture model
GDP;GDP
Gearbox;gearbox
Gender;gender
Gender composition;gender composition
gene coding;gene coding
gene extract;gene extract
Gene synthesis;gene synthesis
Gene therapy;gene therapy
Genealogy;genealogy
General framework;general framework
GpIO;general purpose input output
GPIO;general purpose input output
Generality Qualitative-Configuration;generality qualitative configuration
Generalized interface law;generalized interface law
generalized knowledge;generalized knowledge
GMM;generalized method of moment
generate and apply design knowledge;generate and apply design knowledge
Generating Line;generating line
generation;generation
generation and dissemination of technologies;generation and dissemination of technology
Generation expansion planning;generation expansion planning
Generators;generator
Generic;generic
generic model;generic model
Generic model;generic model
Generic Procedure Model;generic procedure model
Generic simulation;generic simulation
Generic technology;generic technology
Generic Technology;generic technology
Genericity;genericity
genericity;genericity
Genetic algorithm;genetic algorithm
genetic algorithm;genetic algorithm
Genetic Algorithm;genetic algorithm
Genetic algorithms;genetic algorithm
genetic algorithms;genetic algorithm
genetic algorithms for the advanced;genetic algorithm for the advanced
genetic evolution;genetic evolution
Genetic manufacturing systems;genetic manufacturing system
genetic search;genetic search
Genetically-optimized neural network system;genetically optimized neural network system
Gentelligent components;gentelligent component
Geographic Information Science;geographic information science
Geographic Information Systems;geographic information system
geographical simulation;geographical simulation
geography education;geography education
Geology;geology
Geomagic Design;geomagic design
Geometric;geometric
Geometric brownian motion;geometric brownian motion
Geometric-model interpolation;geometric model interpolation
Geometric search;geometric search
Geometric tolerance;geometric tolerance
Geometrical model;geometrical model
Geometrical production specification and verification (GPS & V);geometrical production specification and verification 
Geometry;geometry
geometry method;geometry method
Geometry method;geometry method
Geometry parameter measurement;geometry parameter measurement
Geometry processing;geometry processing
Geopolitics;geopolitic
GEP;GEPx
VDA toolkit;German association of the automotive industry toolkit
German industry 4.0;German industry 4.0
German industry sectors;German industry sector
Germany;Germany
Gesture Recognition;gesture recognition
Gesture recognition;gesture recognition
Ghost factory;ghost factory
Giant magnetostrictive materials;giant magnetostrictive material
GIS substation;gis substation
Glass;glass
Glass molding;glass molding
Glass reinforced plastics;glass reinforced plastic
glass spheres;glass sphere
glassy sulfide electrolyte;glassy sulfide electrolyte
Glassy sulfide electrolyte;glassy sulfide electrolyte
Global energy interconnection (GEI);global  energie interconnection
Global citizen;global citizen
Global competition;global competition
Global competitiveness;global competitiveness
global corporate citizenship;global corporate citizenship
global data fusion;global data fusion
Global data fusion;global data fusion
global economic order;global economic order
Global Engineer;global engineer
Global Enterprise Inventory;global enterprise inventory
Global foundry;global foundry
global governance;global governance
Global illumination;global illumination
Global impact;global impact
Global industrial revolutions;global industrial revolution
Global innovation process;global innovation process
global input–output tables;global input output table
Global manufacturing;global manufacturing
Global manufacturing strategy;global manufacturing strategy
global market;global market
GNSS;global navigation satellite system 
GPS;global positioning system
Global sizes;global size
global supply chains;global supply chain
Global Supply Chain Management;global supply chain management
global value chains;global value chain
Global value chains;global value chain
global value change;global value change
global warming;global warming
Global warming;global warming
Globalization;globalization
globalization;globalization
Globalization of markets;globalization of market
Goal-modeling;goal modeling
Goal programming;goal programming
goods;good
Goods;good
Goods Monitoring;good monitoring
Google Earth Engine;google earth engine
GWT;google web toolkit 
Gossiping.;gossiping
governance;governance
Governance;governance
Government;government
government initiatives;government initiative
Government of India;government of India
Government policy;government policy
GQM;GQM 
Grab;grab
Gradient Theory;gradient theory
Graduate student;graduate student
Graduation design;graduation design
Grain and oils;grain and oil
Grain protein;grain protein
grain size;grain size
granger causality test;granger causality test
granular computing;granular computing
Granular computing;granular computing
Granular formwork;granular formwork
Granularity;granularity
Graph Analysis;graph analysis
Graph theory;graph theory
Graph Theory;graph theory
Graphene nanosheets;graphene nanosheet
Graphene Nanosheets;graphene nanosheet
Graphic symbols;graphic symbol
Graphical languages;graphical language
Graphical user interfaces;graphical user interface
GPU;graphics processing unit
GPU reliability;graphics processing unit reliability
GRASP;grasp
Grasping Model;grasping model
grasping model;grasping model
Gravity model;gravity model
Gray correlation analysis;gray correlation analysis
greedy Bayesian estimation;greedy Bayesian estimation
Green;green
green chemistry;green chemistry
green cloud computing;green cloud computing
Green compact;green compact
green computing;green computing
Green criteria;green criteria
Green energy;green energy
green industrial Internet of Things;green industrial internet of things
Green innovation;green innovation
green innovation;green innovation
Green IS;green IS 
Green machining;green machining
Green manufacturing;green manufacturing
Green Manufacturing;green manufacturing
green manufacturing;green manufacturing
Green materials;green material
Green nanotechnology;green nanotechnology
green performance simulation;green performance simulation
Green performance simulation;green performance simulation
Green process technology;green process technology
Green production scenario;green production scenario
Green supply chain;green supply chain
Green supply chain management;green supply chain management
GSCM;green supply chain management
Green synthesis;green synthesis
green tactile Internet of Things;green tactile internet of things
Greenhouses;greenhouse
GHGs;greenhouse gas
greenhouse gas emissions;greenhouse gas emission
Greenhouse gas emissions;greenhouse gas emission
Greenhouse horticulture;greenhouse horticulture
Grey correlation analysis;grey correlation analysis
Grey decision;grey decision
Grey numbers;grey number
grey relation analysis;grey relation analysis
Grey relational analysis;grey relational analysis
Grid;grid
Grid engineering;grid engineering
Grinding;grinding
Grinding fluid;grinding fluid
Grinding machine;grinding machine
Grinding wheel wear;grinding wheel wear
Gripper;gripper
Gripper Fingerprint;gripper fingerprint
gripper fingerprint;gripper fingerprint
Grippers;grippers
grounded coplanar waveguide (GCPW);grounded coplanar waveguide 
Grounded theory;grounded theory
Group;group
Group decision;group decision
Group decision making;group decision making
Group decision-making;group decision making
Group enterprises (GEs);group enterprises 
group instruction;group instruction
Group leader optimization algorithm;group leader optimization algorithm
Group technology;group technology
Grouping efficiency;grouping efficiency
growth;growth
Growth Design;growth design
Growth Option;growth option
Growth predicaments;growth predicament
Growth Predicaments;growth predicament
Growth simulation model;growth simulation model
GS1;GS1
GS1-128;GS1
GS1 EPCglobal framework;GS1 EPCglobal framework
GSA;GSA
GST;GST 
GT.M;GT.M 
Guangxi;Guangxi
Guest Editor's Introduction;guest editor's introduction
GTN model;gurson tvergaard needleman model
GVD;GVD 
gynaecological;gynaecological
Gynaecological;gynaecological
Gyratory crusher;gyratory crusher
gyro gun sight;gyro gun sight
H2020 SPIRE;h2020 spire
H2O machine learning;H2O machine learning
H54;H54 
Ha;Ha
Habits;habit
hackers;hacker
Hadoop;Hadoop
haemophilia A;haemophilia a
Haemophilia A;haemophilia a
half-life;half life
Half-life;half life
half-rate EQ;half rate EQ
Half-Wave Dipole;half wave dipole
half-wave dipole;half wave dipole
Hammerstein-Wiener model;hammerstein wiener model
hand-eye calibration;hand eye calibration
Hand-eye calibration;hand eye calibration
Hands-On Education;hand on education
Hand tracking;hand tracking
Handling robot;handling robot
Handling solutions;handling solution
Handloom;handloom
Handpiece extension device;handpiece extension device
Handwriting Recognition;handwriting recognition
Handwriting recognition;handwriting recognition
Han's Laser;han's laser
haptics;Haptic
Haptics;haptic
Hard ceramics;hard ceramic
Hard disk drives (HDDs);hard disk drive 
Hard Disk Drives (HDDs);hard disk drive 
Hard machining;hard machining
Hard milling;hard milling
Hard real time traffic;hard real time traffic
hard solder packaging;hard solder packaging
|Hard turning;hard turning
Hard turning;Hard turning
Hard whirling machining;hard whirling machining
Hardened steels;hardened steel
Hardness;hardness
Hardware;hardness
hardware;hardness
hardware and software;hardware and software
Hardware-in-the-Loo.;hardware in the loop
Hardware-in-the-Loop;hardware in the loop
hardware reliability;hardware reliability
Hardware-software co-design;hardware software co design
harmonics compensation;harmonic compensation
Harmonics compensation;harmonics compensation
harmonized;harmonized
Harmony search;harmony search
Harper's Bazaar Jewelry;harper's bazaar jewelry
harsh environment;harsh environment
Harvesting;harvesting
HaRTES;hastes
Hazardous air pollutants (HAPs);hazardous air pollutants 
HE;HCMI 
head-worn displays;HE
Health;health
Health 4.0;health 4.0
HUMS;Health and usage monitoring system
Health care;health care
health index hierarchy (HIH);health index hierarchy 
HL7;health level 7
health management;health management
Health management and prognostics;health management and prognostic
Health monitoring;health monitoring
health monitoring;health monitoring
Health Monitoring;health monitoring
Healthcare;healthcare
healthcare;healthcare
Health-care;healthcare
Healthcare delivery;healthcare delivery
Healthcare Industrial Internet of Things (HealthIIoT);healthcare industrial internet of things
Heart rate;heart rate
Heart rate variability (HRV);heart rate variability 
Heat;heat
Heat and material deformation;heat and material deformation
Heat exchanger;heat exchanger
Heat load;heat load
heat transfer;heat transfer
Heat transfer;heat transfer
Heat transfer components;heat transfer component
Heat treatment;heat treatment
Heat treatment and tribology;heat treatment and tribology
Heat treatment and Tribology;heat treatment and tribology
Heat treatment status;heat treatment status
Heating rate;heating rate
Heavy volatile organic compounds (HVOCs);heavy volatile organic compound
Heduling;heduling
height profiling;height profiling
Helical sweep system;helical sweep system
Helpman-Krugman model;helpman Krugman model
Hemophilia A;hemophilia a
heterodyne interferometry;heterodyne interferometry
Heterodyne interferometry;heterodyne interferometry
Heterogeneity;heterogeneity
Heterogeneous;heterogeneous
